title,genres
Toy Story,Adventure
Jumanji,Adventure
Grumpier Old Men,Comedy
Waiting to Exhale,Comedy
Father of the Bride Part II,Comedy
Heat,Action
Sabrina,Comedy
Tom and Huck,Adventure
Sudden Death,Action
GoldenEye,Action
"American President, The",Comedy
Dracula: Dead and Loving It,Comedy
Balto,Adventure
Nixon,Drama
Cutthroat Island,Action
Casino,Crime
Sense and Sensibility,Drama
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Comedy
Money Train,Action
Get Shorty,Comedy
Copycat,Crime
Assassins,Action
Powder,Drama
Leaving Las Vegas,Drama
Othello,Drama
Now and Then,Children
Persuasion,Drama
"City of Lost Children, The (Cité des enfants perdus, La)",Adventure
Shanghai Triad (Yao a yao yao dao waipo qiao),Crime
Dangerous Minds,Drama
Twelve Monkeys (a.k.a. 12 Monkeys),Mystery
Babe,Children
Dead Man Walking,Crime
It Takes Two,Children
Clueless,Comedy
"Cry, the Beloved Country",Drama
Richard III,Drama
Dead Presidents,Action
Restoration,Drama
Mortal Kombat,Action
To Die For,Comedy
How to Make an American Quilt,Drama
Seven (a.k.a. Se7en),Mystery
Pocahontas,Animation
When Night Is Falling,Drama
"Usual Suspects, The",Crime
Mighty Aphrodite,Comedy
Lamerica,Adventure
"Big Green, The",Children
Georgia,Drama
Home for the Holidays,Drama
"Postman, The (Postino, Il)",Comedy
"Indian in the Cupboard, The",Adventure
Eye for an Eye,Drama
Mr. Holland's Opus,Drama
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
Two if by Sea,Comedy
Bio-Dome,Comedy
Lawnmower Man 2: Beyond Cyberspace,Action
French Twist (Gazon maudit),Comedy
Friday,Comedy
From Dusk Till Dawn,Action
Fair Game,Action
Kicking and Screaming,Comedy
"Misérables, Les",Drama
Bed of Roses,Drama
Big Bully,Comedy
Screamers,Action
Nico Icon,Documentary
"Crossing Guard, The",Action
"Juror, The",Drama
"White Balloon, The (Badkonake sefid)",Children
Things to Do in Denver When You're Dead,Crime
Antonia's Line (Antonia),Comedy
Once Upon a Time... When We Were Colored,Drama
Angels and Insects,Drama
White Squall,Action
Dunston Checks In,Children
Black Sheep,Comedy
Nick of Time,Action
Mary Reilly,Drama
Vampire in Brooklyn,Comedy
Beautiful Girls,Comedy
Broken Arrow,Action
In the Bleak Midwinter,Comedy
"Hate (Haine, La)",Crime
Heidi Fleiss: Hollywood Madam,Documentary
City Hall,Drama
Bottle Rocket,Adventure
Mr. Wrong,Comedy
Unforgettable,Mystery
Happy Gilmore,Comedy
"Bridges of Madison County, The",Drama
Nobody Loves Me (Keiner liebt mich),Comedy
Muppet Treasure Island,Adventure
Catwalk,Documentary
Braveheart,Action
Taxi Driver,Crime
Rumble in the Bronx (Hont faan kui),Action
Before and After,Drama
Anne Frank Remembered,Documentary
"Young Poisoner's Handbook, The",Crime
If Lucy Fell,Comedy
"Steal Big, Steal Little",Comedy
"Boys of St. Vincent, The",Drama
Boomerang,Comedy
Chungking Express (Chung Hing sam lam),Drama
Flirting With Disaster,Comedy
"NeverEnding Story III, The",Adventure
Jupiter's Wife,Documentary
Pie in the Sky,Comedy
Jade,Thriller
Down Periscope,Comedy
Man of the Year,Documentary
Up Close and Personal,Drama
"Birdcage, The",Comedy
"Brothers McMullen, The",Comedy
Bad Boys,Action
"Amazing Panda Adventure, The",Adventure
"Basketball Diaries, The",Drama
"Awfully Big Adventure, An",Drama
Amateur,Crime
Apollo 13,Adventure
Rob Roy,Action
"Addiction, The",Drama
Batman Forever,Action
Beauty of the Day (Belle de jour),Drama
Beyond Rangoon,Adventure
Blue in the Face,Comedy
Canadian Bacon,Comedy
Casper,Adventure
Clockers,Crime
Congo,Action
Crimson Tide,Drama
Crumb,Documentary
Desperado,Action
Devil in a Blue Dress,Crime
Die Hard: With a Vengeance,Action
"Doom Generation, The",Comedy
First Knight,Action
Free Willy 2: The Adventure Home,Adventure
Hackers,Action
Jeffrey,Comedy
Johnny Mnemonic,Action
Judge Dredd,Action
Jury Duty,Comedy
Kids,Drama
Living in Oblivion,Comedy
Lord of Illusions,Horror
Love & Human Remains,Comedy
Mad Love,Drama
Mallrats,Comedy
Mighty Morphin Power Rangers: The Movie,Action
Mute Witness,Comedy
Nadja,Drama
"Net, The",Action
Nine Months,Comedy
Party Girl,Comedy
"Prophecy, The",Fantasy
Reckless,Comedy
Safe,Thriller
"Scarlet Letter, The",Drama
Showgirls,Drama
Smoke,Comedy
Something to Talk About,Comedy
Species,Horror
Strange Days,Action
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama
Three Wishes,Drama
Total Eclipse,Drama
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
Under Siege 2: Dark Territory,Action
Unstrung Heroes,Comedy
Unzipped,Documentary
"Walk in the Clouds, A",Drama
Waterworld,Action
White Man's Burden,Drama
Wild Bill,Western
"Browning Version, The",Drama
Bushwhacked,Adventure
Burnt by the Sun (Utomlyonnye solntsem),Drama
Before the Rain (Pred dozhdot),Drama
Before Sunrise,Drama
Billy Madison,Comedy
"Babysitter, The",Drama
